"Route","prop_late_5min","prop_late_10min","prop_late_15min","prop_early","prop_on_time","mean_delay_min","median_delay_min","sd_delay_min","iqr_delay_min","range_delay_min","max_delay_min","min_delay_min","percentile_90_delay","percentile_75_delay","percentile_25_delay","n_trips"
28,0.505555555555555,0.218888888888889,0.0444444444444445,0.065,0.429444444444445,6.03156713809349,5.20668838620186,4.93068806132041,6.66575340330602,30.88620972236,23.9026995857557,-6.98351013660432,12.9279678002993,9.54400432209174,2.87825091878573,1800
27,0.466454689984102,0.157074721780604,0.0222575516693165,0.0788553259141495,0.454689984101749,-0.598204021288342,4.33552536964417,48.7291387215769,5.53891206185022,501.372769510746,23.3938870867093,-477.978882424037,11.2108523575465,8.20279088417688,2.66387882232667,3145
33,0.361261400525583,0.117483382284743,0.035708764878652,0.170814654506106,0.467923944968311,-4.97531800912227,3.29366597731908,55.3843341984522,6.16211590369543,436.023420349756,31.8022285501162,-404.22119179964,10.6405064161619,6.87950582106908,0.717389917373657,6469
11,0.317827217567177,0.0890879321968601,0.016950784936916,0.161995569681209,0.520177212751614,3.44272234523816,3.11627949873607,4.80372089067767,5.39855113824209,43.644066051642,26.9079457759857,-16.7361202756563,9.56263855059942,6.03959834973018,0.641047211488087,10383
2,0.314619883040936,0.143859649122807,0.0456140350877193,0.264327485380117,0.421052631578947,2.44847494227147,3.00442958672842,7.45943228233213,8.43314607143402,48.9762685934703,24.8483224232992,-24.1279461701712,11.059758737882,6.98497419555982,-1.4481718758742,855
61,0.301435406698565,0.143540669856459,0.0574162679425837,0.260765550239234,0.437799043062201,2.46835574237734,2.76602593262991,7.57946104393192,8.12263327638309,45.19433760643,27.3497540911038,-17.8445835153262,11.1704898810387,6.6219439804554,-1.50068929592768,418
1,0.295397066262014,0.0907941325240261,0.0222559433485077,0.20384420839656,0.500758725341426,2.03392117172203,2.98232269088427,9.01153177450294,5.79811434447766,104.792535062631,27.8428918083508,-76.9496432542802,9.61771233757336,5.71966344118119,-0.0784509032964707,7908
12,0.271629778672032,0.253521126760563,0.167002012072435,0.380281690140845,0.348088531187123,3.56758822631228,1.95809327363968,10.7878779393163,13.5934020241102,55.2648218393327,37.5257867137592,-17.7390351255735,20.0530667106311,10.1346892237663,-3.45871280034383,497
18,0.243064729194187,0.0369881109643328,0,0.16116248348745,0.595772787318362,2.7796594940582,2.96782905260722,3.92646750228283,4.23203832507133,28.0555560946464,14.7665751258532,-13.2889809687932,7.79903668562572,4.88770930965741,0.65567098458608,2271
50,0.215926493108729,0.0373660030627872,0.00398162327718221,0.156202143950995,0.627871362940275,2.61210482464328,2.87090995311737,3.89216566163521,4.00351482629776,36.4193207502365,18.7957087198893,-17.6236120303472,7.20447427511216,4.49112358093262,0.487608754634857,3265
92,0.208630648997622,0.0268433571185864,0.000339789330615018,0.198436969079171,0.592932381923208,2.21068751395174,2.70261124372482,3.99842733992504,4.70454141894976,28.4768234650293,16.9643600145975,-11.5124634504318,7.25950917561849,4.44439197381338,-0.260149445136388,2943
20,0.208439680108899,0.0597243491577335,0.0141228517951332,0.225795473881232,0.565764846009869,2.23597909431653,2.48170099655787,4.62658343212433,4.90372935930887,39.9002940972647,28.091343955199,-11.8089501420657,7.96131847143174,4.28049335082372,-0.623236008485158,5877
22,0.194624352331606,0.0404792746113989,0.00939119170984468,0.248704663212434,0.556670984455959,1.89864340734013,2.38712854385377,4.57628512791766,5.08390397628148,36.3912482420603,22.6401118596395,-13.7511363824208,7.34730174263318,4.11069484651088,-0.973209129770597,3088
19,0.185529715762274,0.0253229974160206,0.00103359173126617,0.250645994832041,0.563824289405685,1.7993062985159,2.61101520458857,4.16979827771932,4.91605677008629,27.1180600484212,15.9748289187749,-11.1432311296463,6.77036620140076,3.89737572272619,-1.0186810473601,1935
17,0.178489702517163,0.0274599542334096,0.00457665903890161,0.19954233409611,0.621967963386727,2.12987128923359,2.71796777248383,3.94240026295209,4.09728707075119,36.555136668682,23.1833147565523,-13.3718219121297,6.60865541855494,3.88739810387293,-0.209888966878255,2185
14,0.130760584488573,0.0333458224053953,0.00449606594230048,0.438366429374297,0.43087298613713,-0.385933764829191,-0.187858911355337,5.52189713786523,6.96994799375535,44.3040175477663,24.338729306062,-19.9652882417043,5.96575613896052,3.08635786771775,-3.8835901260376,2669
