"Route","avg_penalty","max_penalty","reliability_score","n_trips"
14,0.208692394155114,8,97.9130760584489,2669
19,0.238242894056848,5,97.6175710594315,1935
17,0.243935926773456,8,97.5606407322654,2185
92,0.262996941896025,5,97.3700305810398,2943
50,0.298621745788668,5,97.0137825421133,3265
22,0.300194300518134,8,96.9980569948187,3088
18,0.317040951122853,3,96.8295904887715,2271
20,0.364811978900801,8,96.351880210992,5877
1,0.533636823469903,8,94.663631765301,7908
11,0.53712799768853,8,94.6287200231147,10383
33,0.693615705673211,8,93.0638429432679,6469
2,0.732163742690058,8,92.6783625730994,855
61,0.753588516746411,8,92.4641148325359,418
27,0.82798092209857,8,91.7201907790143,3145
28,1.03555555555556,8,89.6444444444444,1800
12,1.42655935613682,8,85.7344064386318,497
